HOLD13-ATAC-LPS	HO-056	2049
HOLD13-ATAC-LPS	HO-013	2203
HOLD13-ATAC-LPS	HO-112	2307
HOLD13-ATAC-LPS	HO-132	2465
HOLD13-ATAC-LPS	HO-160	2987
HOLD13-ATAC-LPS-DEX	HO-057	1099
HOLD13-ATAC-LPS-DEX	HO-184	1634
HOLD13-ATAC-LPS-DEX	HO-190	1747
HOLD13-ATAC-LPS-DEX	HO-022	1839
HOLD13-ATAC-LPS-DEX	HO-018	1974
HOLD13-ATAC-LPS-DEX	HO-069	2281
HOLD13-ATAC-LPS-DEX	HO-013	2317
HOLD13-ATAC-LPS-DEX	HO-001	2327
HOLD13-ATAC-LPS-DEX	HO-056	2353
HOLD13-ATAC-LPS-DEX	HO-132	2540
HOLD13-ATAC-LPS-DEX	HO-112	2635
HOLD13-ATAC-LPS-DEX	HO-160	2840
HOLD14-ATAC-CTRL	HO-182	1193
HOLD14-ATAC-CTRL	HO-094	1400
HOLD14-ATAC-CTRL	HO-113	1418
HOLD14-ATAC-CTRL	HO-033	1419
HOLD14-ATAC-CTRL	HO-187	1429
HOLD14-ATAC-CTRL	HO-137	1454
HOLD14-ATAC-CTRL	HO-174	1568
HOLD14-ATAC-CTRL	HO-127	1601
HOLD14-ATAC-CTRL	HO-143	1618
HOLD14-ATAC-CTRL	HO-177	1699
HOLD14-ATAC-CTRL	HO-061	1717
HOLD14-ATAC-CTRL	HO-065	1751
HOLD14-ATAC-LPS	HO-182	1324
HOLD14-ATAC-LPS	HO-033	1519
HOLD14-ATAC-LPS	HO-094	1583
HOLD14-ATAC-LPS	HO-187	1693
HOLD14-ATAC-LPS	HO-113	1695
HOLD14-ATAC-LPS	HO-137	1723
HOLD14-ATAC-LPS	HO-174	1752
HOLD14-ATAC-LPS	HO-061	1767
HOLD14-ATAC-LPS	HO-143	1864
HOLD14-ATAC-LPS	HO-065	1974
HOLD14-ATAC-LPS	HO-177	2017
HOLD14-ATAC-LPS	HO-127	2045
HOLD1-ATAC-CTRL	HO-114	1294
HOLD1-ATAC-CTRL	HO-129	1422
HOLD1-ATAC-CTRL	HO-046	1674
HOLD1-ATAC-CTRL	HO-021	1759
HOLD1-ATAC-CTRL	HO-176	1783
HOLD1-ATAC-CTRL	HO-070	1869
HOLD1-ATAC-CTRL	HO-138	1933
HOLD1-ATAC-CTRL	HO-016	1996
HOLD1-ATAC-CTRL	HO-100	2045
HOLD1-ATAC-CTRL	HO-006	2198
HOLD1-ATAC-CTRL	HO-187	2475
HOLD1-ATAC-CTRL	HO-120	3000
HOLD1-ATAC-LPS	HO-114	1139
HOLD1-ATAC-LPS	HO-129	1286
HOLD1-ATAC-LPS	HO-021	1428
HOLD1-ATAC-LPS	HO-016	1563
HOLD1-ATAC-LPS	HO-046	1563
HOLD1-ATAC-LPS	HO-070	1588
HOLD1-ATAC-LPS	HO-176	1615
HOLD1-ATAC-LPS	HO-006	1751
HOLD1-ATAC-LPS	HO-138	1768
HOLD1-ATAC-LPS	HO-100	1884
HOLD1-ATAC-LPS	HO-187	2187
HOLD1-ATAC-LPS	HO-120	2541
HOLD2-ATAC-CTRL	HO-110	858
HOLD2-ATAC-CTRL	HO-002	1702
HOLD2-ATAC-CTRL	HO-003	1724
HOLD2-ATAC-CTRL	HO-080	1749
HOLD2-ATAC-CTRL	HO-139	1801
HOLD2-ATAC-CTRL	HO-075	1821
HOLD2-ATAC-CTRL	HO-123	1977
HOLD2-ATAC-CTRL	HO-180	2031
HOLD2-ATAC-CTRL	HO-041	2042
HOLD2-ATAC-CTRL	HO-078	2362
HOLD2-ATAC-CTRL	HO-043	2402
HOLD2-ATAC-CTRL	HO-084	2715
HOLD2-ATAC-LPS	HO-110	838
HOLD2-ATAC-LPS	HO-002	1517
HOLD2-ATAC-LPS	HO-080	1563
HOLD2-ATAC-LPS	HO-139	1681
HOLD2-ATAC-LPS	HO-075	1801
HOLD2-ATAC-LPS	HO-123	1824
HOLD2-ATAC-LPS	HO-003	1868
HOLD2-ATAC-LPS	HO-041	1946
HOLD2-ATAC-LPS	HO-180	1982
HOLD2-ATAC-LPS	HO-078	2169
HOLD2-ATAC-LPS	HO-043	2172
HOLD2-ATAC-LPS	HO-084	2411
HOLD3-ATAC-CTRL	HO-050	1340
HOLD3-ATAC-CTRL	HO-183	1615
HOLD3-ATAC-CTRL	HO-154	1723
HOLD3-ATAC-CTRL	HO-034	1952
HOLD3-ATAC-CTRL	HO-108	1961
HOLD3-ATAC-CTRL	HO-148	2047
HOLD3-ATAC-CTRL	HO-101	2061
HOLD3-ATAC-CTRL	HO-058	2105
HOLD3-ATAC-CTRL	HO-053	2195
HOLD3-ATAC-CTRL	HO-185	2599
HOLD3-ATAC-CTRL	HO-151	2663
HOLD3-ATAC-CTRL	HO-073	2738
HOLD3-ATAC-LPS	HO-050	1418
HOLD3-ATAC-LPS	HO-154	1518
HOLD3-ATAC-LPS	HO-108	1730
HOLD3-ATAC-LPS	HO-183	1745
HOLD3-ATAC-LPS	HO-148	1907
HOLD3-ATAC-LPS	HO-034	1968
HOLD3-ATAC-LPS	HO-053	1984
HOLD3-ATAC-LPS	HO-101	2110
HOLD3-ATAC-LPS	HO-058	2112
HOLD3-ATAC-LPS	HO-185	2372
HOLD3-ATAC-LPS	HO-151	2554
HOLD3-ATAC-LPS	HO-073	2630
HOLD4-ATAC-CTRL	HO-116	671
HOLD4-ATAC-CTRL	HO-063	828
HOLD4-ATAC-CTRL	HO-125	953
HOLD4-ATAC-CTRL	HO-169	1070
HOLD4-ATAC-CTRL	HO-010	1103
HOLD4-ATAC-CTRL	HO-017	1107
HOLD4-ATAC-CTRL	HO-049	1129
